Place	Municipality	Population	Women	Men	0-17	18-64	65.0	Married	Single	Foreign Background	Foreign Born	Foreign National	Average Age	County
Country		9182927	50.3	49.7	21.0	61.4	17.5	34.1	9.4	17.3	13.4	5.7	41.0	-2
Stockholms county		1949516	50.7	49.3	22.0	63.9	14.2	31.9	10.3	26.3	19.7	8.6	39.0	1
Botkyrka	2	79031	49.8	50.2	24.8	63.6	11.6	35.7	11.1	50.8	35.2	14.7	36.8	1
Danderyd	2	30789	51.7	48.3	26.3	55.4	18.2	40.5	7.6	16.1	13.4	6.3	40.2	1
Ekerö	2	24687	50.1	49.9	28.0	59.3	12.7	37.8	7.8	11.1	8.8	3.8	37.7	1
Haninge	2	73698	49.9	50.1	24.0	63.6	12.4	33.4	11.0	27.1	19.8	9.1	37.8	1
Huddinge	2	91827	50.1	49.9	25.3	63.0	11.7	34.2	9.8	31.7	23.7	10.8	37.0	1
Järfälla	2	63427	50.2	49.8	23.2	61.4	15.4	35.9	10.3	28.9	20.9	7.7	39.4	1
Lidingö	2	42710	52.2	47.8	23.9	57.8	18.3	36.9	9.7	16.7	13.8	6.3	41.0	1
Nacka	2	84303	50.9	49.1	25.4	61.4	13.2	34.7	9.5	21.9	16.7	7.4	38.1	1
Norrtälje	7	55225	50.0	50.0	20.5	58.9	20.6	35.4	10.3	11.3	9.1	4.0	43.3	1
Nykvarn	4	8926	49.2	50.8	27.3	60.3	12.5	36.3	7.9	15.2	10.8	5.2	37.6	1
Nynäshamn	4	25353	49.7	50.3	22.4	60.7	16.9	35.4	11.2	14.3	11.5	5.3	41.1	1
Salem	2	15065	50.8	49.2	28.1	58.5	13.4	36.3	8.2	19.2	13.9	6.3	37.0	1
Sigtuna	4	37793	50.2	49.8	23.9	62.5	13.6	33.9	10.7	28.4	20.9	8.8	38.1	1
Sollentuna	2	61387	50.5	49.5	26.0	60.2	13.8	37.1	9.0	23.6	17.7	6.8	38.1	1
Solna	2	63318	51.2	48.8	15.6	68.0	16.4	27.4	11.2	28.8	22.3	9.8	40.7	1
Stockholm	1	795163	51.2	48.8	18.9	66.9	14.2	27.6	11.0	27.6	21.0	9.1	39.4	1
Sundbyberg	2	35078	50.6	49.4	18.3	68.2	13.4	25.6	12.1	31.3	23.1	9.7	39.0	1
Södertälje	3	83642	49.7	50.3	22.7	62.5	14.8	33.4	9.9	40.0	28.5	12.9	38.8	1
Tyresö	2	42047	50.3	49.7	26.7	60.1	13.3	34.1	9.9	18.3	13.6	6.1	37.5	1
Täby	2	61633	50.8	49.2	24.9	58.8	16.3	39.8	8.6	17.1	13.6	5.4	39.8	1
Upplands Väsby	2	38055	50.2	49.8	22.9	63.6	13.5	33.7	10.6	29.3	21.6	9.0	38.7	1
Upplands-Bro	2	22221	50.3	49.7	24.1	63.8	12.0	35.1	10.1	25.8	19.1	8.7	38.1	1
Vallentuna	2	28382	49.9	50.1	27.0	60.5	12.5	36.1	8.6	14.2	11.0	4.8	37.2	1
Vaxholm	2	10600	50.6	49.4	27.0	59.3	13.7	37.8	8.9	10.7	8.7	3.3	38.6	1
Värmdö	2	36870	49.4	50.6	27.6	60.8	11.5	34.8	9.0	13.6	10.3	5.4	37.2	1
Österåker	2	38286	50.1	49.9	26.1	60.7	13.2	37.3	9.0	14.5	11.3	4.9	38.1	1
Uppsala county		323270	50.4	49.6	21.6	63.2	15.3	33.4	8.9	15.7	12.2	4.9	39.6	2
Enköping	7	38768	50.1	49.9	22.2	59.9	17.9	36.4	9.2	12.7	9.8	4.1	41.3	2
Heby	8	13492	48.7	51.3	21.8	57.6	20.6	35.1	7.9	8.7	7.3	3.4	42.6	2
Håbo	2	18931	49.5	50.5	26.4	62.1	11.5	36.9	8.8	16.0	11.5	5.3	37.5	2
Knivsta	4	13954	49.8	50.2	28.6	61.1	10.3	36.5	7.1	10.7	8.4	3.8	36.1	2
Tierp	8	20068	49.6	50.4	21.1	57.8	21.0	34.9	9.6	8.3	6.7	3.2	43.2	2
Uppsala	3	187541	51.0	49.0	20.5	65.8	13.7	31.7	8.8	19.0	14.7	5.7	38.5	2
Älvkarleby	4	9095	49.3	50.7	21.3	59.1	19.6	35.3	10.2	11.1	8.6	3.9	43.0	2
Östhammar	8	21421	49.0	51.0	20.9	58.6	20.5	35.0	9.5	8.4	6.7	2.8	43.4	2
Södermanlands county		265190	50.3	49.7	21.2	59.7	19.2	35.9	9.9	17.4	13.2	5.4	42.1	3
Eskilstuna	3	93343	50.3	49.7	20.8	61.3	17.9	33.9	10.1	24.6	17.9	7.2	41.2	3
Flen	8	16191	49.4	50.6	21.0	57.0	21.9	38.2	10.1	16.1	12.4	6.1	44.1	3
Gnesta	4	10031	49.9	50.1	22.9	59.5	17.6	36.2	9.6	10.3	8.1	3.7	41.7	3
Katrineholm	7	32162	50.5	49.5	21.1	58.6	20.3	35.8	10.0	15.5	11.9	4.7	42.7	3
Nyköping	7	50760	50.8	49.2	20.6	59.0	20.4	36.9	9.7	12.3	9.6	3.7	42.7	3
Oxelösund	6	11148	49.2	50.8	18.2	58.5	23.3	38.2	11.4	18.2	14.7	5.6	45.1	3
Strängnäs	7	31435	50.5	49.5	22.7	59.5	17.7	36.8	9.7	13.0	10.1	4.2	41.3	3
Trosa	4	11038	50.4	49.6	23.5	59.6	16.9	40.0	8.9	13.7	10.5	4.7	41.4	3
Vingåker	9	9082	49.4	50.6	22.4	57.1	20.5	36.2	8.8	8.9	7.6	4.0	43.1	3
Östergötlands county		420809	50.0	50.0	20.9	61.1	18.0	35.0	8.5	13.7	10.6	4.1	41.1	4
Boxholm	4	5223	48.6	51.4	20.8	58.5	20.7	39.1	8.3	5.5	4.6	2.4	43.8	4
Finspång	6	20703	49.3	50.7	20.0	58.4	21.6	38.7	8.3	13.0	10.5	4.1	43.7	4
Kinda	9	9947	49.7	50.3	21.7	56.6	21.7	38.1	7.1	5.5	4.9	2.5	43.3	4
Linköping	3	140367	49.6	50.4	20.5	63.3	16.2	33.8	7.8	14.5	11.4	4.7	39.4	4
Mjölby	7	25535	49.9	50.1	21.8	59.2	19.1	36.0	7.9	7.8	6.1	2.3	41.8	4
Motala	7	42060	50.0	50.0	21.2	59.8	19.0	35.5	8.6	12.6	9.7	3.6	42.1	4
Norrköping	3	126680	50.5	49.5	21.0	61.7	17.3	33.3	9.7	18.6	13.7	5.0	40.7	4
Söderköping	4	14020	50.1	49.9	22.4	59.3	18.3	39.1	8.3	6.0	4.8	1.9	42.3	4
Vadstena	9	7536	51.0	49.0	19.5	56.2	24.3	38.0	8.7	7.5	6.3	2.9	45.5	4
Valdemarsvik	9	7949	49.9	50.1	19.1	58.3	22.6	39.8	8.5	6.0	5.0	2.2	45.5	4
Ydre	5	3760	48.3	51.7	20.3	56.5	23.2	42.6	6.1	6.0	5.4	2.6	44.8	4
Åtvidaberg	9	11658	49.8	50.2	22.3	56.5	21.3	38.8	7.6	5.2	4.6	1.9	43.1	4
Ödeshög	9	5371	50.3	49.7	21.3	57.4	21.3	36.9	8.0	7.0	5.8	3.2	43.7	4
Jönköpings county		333610	50.1	49.9	22.0	59.5	18.5	38.2	7.3	15.2	11.7	4.2	41.1	5
Aneby	9	6506	49.2	50.8	22.1	58.7	19.2	39.6	7.3	8.1	6.8	3.1	42.2	5
Eksjö	8	16435	50.1	49.9	20.3	58.2	21.5	37.8	8.3	8.6	7.3	3.8	43.7	5
Gislaved	6	29330	49.4	50.6	23.4	59.6	17.0	38.1	7.1	21.7	16.0	5.9	40.3	5
Gnosjö	6	9657	49.0	51.0	24.0	60.3	15.8	40.2	6.3	25.0	18.4	6.8	39.8	5
Habo	4	10375	49.5	50.5	26.2	59.9	13.9	41.2	6.0	6.7	5.6	2.5	38.0	5
Jönköping	3	123709	50.8	49.2	21.3	61.2	17.5	36.8	7.7	16.7	12.5	4.0	40.2	5
Mullsjö	4	7046	49.8	50.2	23.5	59.8	16.6	40.2	8.2	9.2	7.6	3.4	40.9	5
Nässjö	6	29461	49.9	50.1	21.7	58.1	20.2	38.9	7.5	11.6	9.4	4.1	42.4	5
Sävsjö	6	10937	49.4	50.6	22.4	56.9	20.7	41.0	5.6	11.2	9.2	4.6	42.4	5
Tranås	6	17920	50.3	49.7	21.6	56.6	21.8	37.1	8.1	10.3	8.6	3.3	42.8	5
Vaggeryd	6	12939	49.7	50.3	23.3	59.1	17.6	40.8	5.9	16.5	12.8	4.7	40.6	5
Vetlanda	6	26365	49.3	50.7	21.7	57.6	20.7	38.9	6.8	10.9	9.1	4.2	42.7	5
Värnamo	6	32930	50.3	49.7	22.2	59.1	18.7	39.5	6.9	19.6	15.0	4.6	41.3	5
Kronobergs county		180787	49.7	50.3	20.9	60.2	19.0	36.6	7.6	14.7	12.1	5.4	41.6	6
Alvesta	6	18776	49.1	50.9	21.7	59.0	19.3	39.3	6.9	13.1	10.9	4.9	42.2	6
Lessebo	6	8070	49.5	50.5	22.2	57.8	20.0	38.1	7.3	14.4	12.4	7.3	42.8	6
Ljungby	6	27276	49.4	50.6	21.0	59.1	20.0	37.4	7.7	14.5	11.7	4.7	42.3	6
Markaryd	6	9641	49.9	50.1	19.7	58.0	22.2	39.2	7.9	17.5	14.8	7.6	44.0	6
Tingsryd	8	12600	49.1	50.9	19.1	56.1	24.8	37.0	7.5	9.9	8.7	4.9	45.5	6
Uppvidinge	6	9484	48.7	51.3	20.9	56.7	22.4	37.9	7.4	14.4	12.4	7.6	43.6	6
Växjö	3	79562	50.0	50.0	20.8	62.8	16.4	34.7	7.8	15.9	12.8	5.1	39.9	6
Älmhult	6	15378	49.9	50.1	21.4	58.3	20.3	37.9	7.1	13.4	11.5	5.9	42.4	6
Kalmar county		233834	50.2	49.8	19.8	59.2	21.0	35.9	8.7	9.5	7.8	3.4	43.3	7
Borgholm	9	10933	50.5	49.5	17.9	55.5	26.6	38.3	9.7	6.0	5.2	2.3	47.1	7
Emmaboda	6	9383	49.2	50.8	19.4	57.3	23.3	37.0	8.1	12.1	10.5	5.3	44.9	7
Hultsfred	8	14196	49.4	50.6	19.3	57.3	23.5	37.6	8.2	11.6	9.8	5.5	44.9	7
Högsby	9	5931	49.5	50.5	19.5	56.9	23.6	36.6	8.3	12.0	10.5	6.7	45.1	7
Kalmar	3	61533	51.0	49.0	19.7	62.8	17.5	32.8	9.0	10.7	8.8	3.6	40.8	7
Mönsterås	6	13114	49.7	50.3	20.6	58.0	21.4	36.7	9.0	8.0	6.7	2.4	43.5	7
Mörbylånga	4	13608	51.0	49.0	21.5	57.5	21.0	40.2	8.3	5.0	4.3	1.8	43.5	7
Nybro	6	19643	49.8	50.2	19.3	58.2	22.5	36.3	8.8	10.9	8.9	3.4	44.1	7
Oskarshamn	6	26294	50.1	49.9	20.5	59.0	20.5	37.4	8.4	10.7	8.4	2.9	42.9	7
Torsås	9	7133	48.8	51.2	20.4	56.7	22.9	35.6	8.6	7.1	6.2	3.0	44.6	7
Vimmerby	8	15608	49.5	50.5	21.1	58.4	20.5	35.9	7.1	7.8	6.5	3.7	42.8	7
Västervik	7	36458	50.4	49.6	19.3	58.1	22.6	36.4	9.4	8.2	6.7	2.7	44.7	7
Gotlands county		57122	50.6	49.4	20.0	60.6	19.5	32.2	9.6	5.4	4.4	1.7	42.8	8
Gotland	7	57122	50.6	49.4	20.0	60.6	19.5	32.2	9.6	5.4	4.4	1.7	42.8	8
Blekinge county		151900	49.5	50.5	20.0	59.5	20.5	36.6	8.8	11.2	9.4	4.4	42.7	9
Karlshamn	7	31052	49.9	50.1	19.3	59.1	21.6	36.5	9.3	9.6	7.8	3.6	43.6	9
Karlskrona	3	62338	49.6	50.4	20.7	60.3	19.0	35.8	8.4	10.0	8.6	4.7	41.6	9
Olofström	6	13198	49.5	50.5	19.8	57.5	22.7	37.9	9.4	22.5	17.7	6.5	44.3	9
Ronneby	7	28491	48.7	51.3	19.3	59.7	21.0	37.1	8.7	10.8	9.1	4.1	43.1	9
Sölvesborg	8	16821	49.8	50.2	19.8	58.5	21.7	37.5	9.0	11.0	9.2	3.9	43.5	9
Skåne county		1199357	50.6	49.4	20.8	61.6	17.7	35.7	9.8	20.8	16.2	7.0	40.9	10
Bjuv	4	14470	49.7	50.3	23.4	60.2	16.4	37.9	9.5	22.1	17.1	8.8	40.0	10
Bromölla	4	12181	49.9	50.1	21.1	58.7	20.3	37.9	9.2	11.5	9.3	3.5	42.6	10
Burlöv	2	15952	49.9	50.1	22.8	60.8	16.4	38.9	10.2	31.7	24.2	9.2	39.8	10
Båstad	8	14242	50.8	49.2	18.3	56.4	25.4	40.8	9.1	9.5	8.0	3.4	46.2	10
Eslöv	4	30775	49.8	50.2	23.0	60.2	16.8	37.1	8.4	17.0	13.1	5.4	40.1	10
Helsingborg	3	124986	51.1	48.9	20.3	62.1	17.6	34.1	11.2	23.6	18.1	6.8	41.1	10
Hässleholm	7	49780	50.1	49.9	20.9	58.9	20.2	36.8	9.4	13.0	10.5	4.8	42.4	10
Höganäs	4	24065	51.1	48.9	21.7	56.9	21.4	42.3	8.7	11.3	9.2	3.9	43.6	10
Hörby	4	14584	49.9	50.1	21.0	59.8	19.2	37.2	9.2	10.3	8.6	4.7	42.3	10
Höör	4	14924	50.1	49.9	22.8	59.7	17.5	38.2	9.5	11.5	9.6	4.7	41.0	10
Klippan	8	16254	49.6	50.4	21.0	59.6	19.4	36.4	10.1	13.9	11.4	6.8	42.4	10
Kristianstad	3	77245	50.8	49.2	20.9	60.3	18.8	35.9	9.4	15.0	11.7	4.5	41.6	10
Kävlinge	4	27746	49.9	50.1	24.9	60.8	14.4	39.7	7.9	9.3	7.4	3.2	38.8	10
Landskrona	7	40419	50.3	49.7	20.4	60.9	18.7	36.6	11.5	29.3	22.7	10.4	41.6	10
Lomma	2	20023	50.3	49.7	25.3	56.3	18.4	44.4	6.8	8.4	6.8	2.6	40.6	10
Lund	3	105286	50.4	49.6	19.3	67.3	13.4	31.7	7.9	19.1	15.4	7.2	38.0	10
Malmö	1	280801	51.1	48.9	19.1	64.7	16.2	31.3	11.4	37.3	28.3	12.1	39.7	10
Osby	6	12623	49.8	50.2	20.9	57.6	21.5	37.3	8.5	11.4	9.7	5.0	43.4	10
Perstorp	6	6930	49.3	50.7	21.6	59.0	19.4	36.5	10.7	19.4	16.0	6.8	41.6	10
Simrishamn	8	19306	51.2	48.8	18.2	55.4	26.4	40.2	9.5	8.5	7.3	3.1	46.8	10
Sjöbo	4	18015	49.3	50.7	20.9	60.4	18.7	36.6	9.8	8.7	7.3	4.7	42.2	10
Skurup	2	14788	50.0	50.0	23.5	60.1	16.4	37.7	8.8	11.6	9.4	5.3	40.5	10
Staffanstorp	2	21208	50.1	49.9	25.3	59.4	15.3	41.8	7.9	12.3	9.5	3.8	38.9	10
Svalöv	4	13143	48.6	51.4	23.2	60.7	16.1	37.9	8.3	13.3	10.6	5.9	40.2	10
Svedala	2	19149	49.9	50.1	25.2	60.9	13.8	39.8	7.3	9.9	7.7	3.6	38.5	10
Tomelilla	8	12772	50.2	49.8	19.9	58.5	21.6	35.7	9.1	8.7	7.5	3.9	43.4	10
Trelleborg	7	41019	50.4	49.6	21.3	59.8	18.9	38.6	9.8	17.2	13.4	5.6	41.8	10
Vellinge	2	32565	50.5	49.5	24.6	58.2	17.2	44.5	7.7	8.0	6.7	3.4	40.9	10
Ystad	7	27719	51.4	48.6	18.6	58.5	22.9	38.2	9.6	9.2	7.7	3.1	44.8	10
Åstorp	4	14233	49.5	50.5	24.2	60.2	15.5	37.3	9.5	22.2	17.1	7.9	39.3	10
Ängelholm	7	38749	51.4	48.6	20.6	59.2	20.2	37.1	9.8	10.3	8.3	3.1	42.7	10
Örkelljunga	6	9577	49.3	50.7	20.5	58.6	20.9	38.2	9.3	14.4	12.0	6.9	43.0	10
Östra Göinge	6	13828	49.5	50.5	21.6	58.6	19.8	37.8	8.7	9.2	7.7	3.6	42.4	10
Hallands county		291393	50.3	49.7	22.2	59.5	18.3	37.6	8.5	12.3	9.6	3.4	41.2	11
Falkenberg	7	40164	49.9	50.1	21.6	57.9	20.5	37.9	8.0	12.6	9.9	3.7	42.4	11
Halmstad	3	89727	50.8	49.2	20.4	61.2	18.4	35.4	9.2	17.5	13.4	4.1	41.2	11
Hylte	6	10257	49.3	50.7	22.6	57.3	20.1	37.5	7.2	16.8	13.2	6.4	42.0	11
Kungsbacka	2	71942	50.3	49.7	25.9	58.5	15.6	40.4	7.8	7.4	6.0	2.5	39.3	11
Laholm	8	23189	49.7	50.3	20.9	59.0	20.1	38.3	8.0	10.3	8.3	3.7	43.2	11
Varberg	3	56114	50.2	49.8	21.4	59.6	19.0	36.7	8.7	9.9	7.8	2.7	41.9	11
Västra Götalands county		1547298	50.2	49.8	21.1	61.8	17.2	34.5	9.2	17.9	13.6	5.5	40.7	12
Ale	2	27092	49.3	50.7	24.7	60.9	14.4	37.7	8.7	16.8	12.4	4.8	39.0	12
Alingsås	7	36739	50.8	49.2	22.0	59.9	18.1	37.2	8.9	10.8	8.6	3.6	41.3	12
Bengtsfors	9	9957	49.1	50.9	18.1	57.0	24.9	35.7	8.3	11.9	10.3	6.8	46.3	12
Bollebygd	2	8193	49.6	50.4	23.8	60.8	15.4	39.4	7.6	8.7	6.7	2.8	40.3	12
Borås	3	100985	51.0	49.0	21.0	61.0	18.0	34.4	9.5	23.0	17.1	6.4	40.9	12
Dals-Ed	5	4835	48.8	51.2	20.7	58.5	20.7	31.9	9.4	14.7	13.1	9.9	43.1	12
Essunga	4	5638	49.7	50.3	21.1	58.6	20.3	35.8	7.9	6.3	5.3	2.7	43.0	12
Falköping	7	31311	50.2	49.8	21.4	57.7	20.8	35.4	7.6	9.5	7.7	3.2	42.4	12
Färgelanda	9	6770	48.2	51.8	21.2	58.3	20.5	33.9	9.1	8.2	6.8	3.8	43.4	12
Grästorp	4	5831	49.4	50.6	21.8	58.8	19.4	35.8	7.9	6.9	5.2	3.2	42.6	12
Gullspång	9	5425	49.1	50.9	18.9	57.6	23.4	37.6	8.7	10.8	9.4	6.0	45.7	12
Göteborg	1	493502	50.5	49.5	19.1	66.3	14.7	29.8	10.5	27.9	20.9	8.1	39.2	12
Götene	6	13056	49.1	50.9	22.5	58.8	18.7	39.4	7.8	9.2	7.5	3.4	42.1	12
Herrljunga	6	9304	48.9	51.1	21.4	59.3	19.3	37.7	8.1	10.1	8.1	3.4	42.4	12
Hjo	9	8809	50.3	49.7	21.0	58.3	20.6	35.7	9.3	6.4	5.3	2.3	43.2	12
Härryda	2	32969	49.6	50.4	26.7	60.2	13.1	39.1	7.5	12.9	9.7	4.1	37.9	12
Karlsborg	9	6850	49.9	50.1	18.7	57.9	23.4	38.8	8.4	5.0	4.5	2.4	45.5	12
